x,y,time,TAG,res_time
650097.948971031,5901737.26009654,1598267580,31001001060,4.00301797389984
650089.171927452,5901737.26009654,1598267583,31001001060,4.04456125100454
650087.730135204,5901739.38609087,1598267584,31001001060,4.06440887848536
650081.86292639,5901740.76590535,1598267585,31001001060,4.09578255414963
650081.86292639,5901740.76590535,1598267586,31001001060,4.09578255414963
650076.135929874,5901740.76590535,1598267587,31001001060,4.11053332487742
650071.599811426,5901740.76590535,1598267588,31001001060,4.12167035341263
650070.272416328,5901740.76590535,1598267589,31001001060,4.12549657026927
650067.480030271,5901740.76590535,1598267590,31001001060,4.12883154948552
650064.536776603,5901743.0285035,1598267591,31001001060,4.1430126229922
650057.258776064,5901743.0285035,1598267592,31001001060,4.15233883062998
650057.258776064,5901743.0285035,1598267593,31001001060,4.15233883062998
650049.36234817,5901744.96112976,1598267594,31001001060,4.17868744929632
650048.927655913,5901744.96112976,1598267595,31001001060,4.17941944201787
650046.265174153,5901744.96112976,1598267596,31001001060,4.18662902116776
650046.265174153,5901745.03669912,1598267597,31001001060,4.18749405145645
650041.424088558,5901745.03669912,1598267598,31001001060,4.20545146067937
650041.424088558,5901745.03669912,1598267599,31001001060,4.20545146067937
650032.603852153,5901745.03669912,1598267600,31001001060,4.23726793527603
650031.555698072,5901745.93685417,1598267601,31001001060,4.24521649678548
650031.438757148,5901747.36322758,1598267602,31001001060,4.25625519355138
650031.438757148,5901747.36322758,1598267603,31001001060,4.25625519355138
650028.760454393,5901748.05497014,1598267604,31001001060,4.26404727300008
650020.531295758,5901748.05497014,1598267605,31001001060,4.27141580184301
650014.832318302,5901748.54183092,1598267606,31001001060,4.30553131103516
650013.739305493,5901749.16011035,1598267607,31001001060,4.31611729065577
650012.144929229,5901749.16011035,1598267608,31001001060,4.32875125408173
650009.769366765,5901749.20665723,1598267609,31001001060,4.34139162699382
650009.331627931,5901753.76362403,1598267610,31001001060,4.38765166600545
650004.216643212,5901753.76362403,1598267612,31001001060,4.40313349167506
649996.824411899,5901753.76362403,1598267613,31001001060,4.41584064563115
649996.824411899,5901754.13814377,1598267614,31001001060,4.42090981801351
649996.565092324,5901754.41244987,1598267615,31001001060,4.42423628171285
649996.430085826,5901755.08666399,1598267616,31001001060,4.43093550205231
649995.651659128,5901756.84376228,1598267617,31001001060,4.44471295277278
649993.521846221,5901759.10222941,1598267618,31001001060,4.46471863985062
649992.589040452,5901760.09205149,1598267619,31001001060,4.47403924465179
649990.303556988,5901762.03015238,1598267620,31001001060,4.51673901081085
649988.698776124,5901762.04340895,1598267621,31001001060,4.52495354016622
649984.92341639,5901762.04340895,1598267622,31001001060,4.53367735147476
649983.797496512,5901764.9412207,1598267623,31001001060,4.55869779586792
649983.797496512,5901764.9412207,1598267624,31001001060,4.55869779586792
