x,y,time,TAG,res_time
650073.475291587,5902622.31265644,2020-08-21T16:29:00Z,31001001060,6761.28891198635
650068.800354045,5902621.44249906,2020-08-21T16:29:30Z,31001001060,6746.3413359046
650033.313949639,5902610.04053777,2020-08-21T16:30:00Z,31001001060,6608.98465295235
650024.529816015,5902572.32662162,2020-08-21T16:30:30Z,31001001060,5367.04668325583
650038.259606647,5902526.57840796,2020-08-21T16:31:00Z,31001001060,769.794072540601
650047.713520263,5902497.62450862,2020-08-21T16:31:30Z,31001001060,17.5804050286611
650067.803010273,5902463.55973472,2020-08-21T16:32:00Z,31001001060,21.5797255237897
650088.75577608,5902433.33663537,2020-08-21T16:32:30Z,31001001060,20.1252333680789
650106.100080385,5902407.99481252,2020-08-21T16:33:00Z,31001001060,16.6011500080427
650108.037087039,5902406.22877852,2020-08-21T16:33:30Z,31001001060,16.5481223980586
650107.461570529,5902408.21453994,2020-08-21T16:34:00Z,31001001060,16.5969265699387
650104.433575059,5902404.23728067,2020-08-21T16:34:30Z,31001001060,16.5189727465312
650102.689855556,5902403.42339141,2020-08-21T16:35:00Z,31001001060,16.4995853821437
650108.19777099,5902405.34391231,2020-08-21T16:35:30Z,31001001060,16.5269944747289
650117.083887807,5902393.63830458,2020-08-21T16:36:00Z,31001001060,16.2651715636253
650161.963727483,5902382.13318446,2020-08-21T16:36:30Z,31001001060,16.7229014356931
650183.226660897,5902351.21161318,2020-08-21T16:37:00Z,31001001060,17.6928901910782
650212.770309293,5902314.94718815,2020-08-21T16:37:30Z,31001001060,11.8940798362096
650240.18764563,5902279.27240529,2020-08-21T16:38:00Z,31001001060,10.5804268042247
650270.701241185,5902256.13383434,2020-08-21T16:38:30Z,31001001060,12.2335504015287
650312.96856714,5902230.61399103,2020-08-21T16:39:00Z,31001001060,8.14889606634776
650336.490196509,5902213.44808484,2020-08-21T16:39:30Z,31001001060,6.31468116442362
650374.129565748,5902199.40905262,2020-08-21T16:40:00Z,31001001060,6.22048591375351
650413.159695283,5902195.39587611,2020-08-21T16:40:30Z,31001001060,5.63561664024989
650444.410650796,5902190.0446418,2020-08-21T16:41:00Z,31001001060,4.08487979571025
650463.012595404,5902178.88964256,2020-08-21T16:41:30Z,31001001060,3.5815957625707
650473.301934326,5902178.13673089,2020-08-21T16:42:00Z,31001001060,3.724560658137
650494.284581094,5902152.3397321,2020-08-21T16:42:30Z,31001001060,4.6061300555865
650525.184017332,5902125.77799075,2020-08-21T16:43:00Z,31001001060,4.21160369316737
650529.807220604,5902102.92945722,2020-08-21T16:43:30Z,31001001060,3.94026851654053
650514.388037836,5902078.3150322,2020-08-21T16:44:00Z,31001001060,3.7363115866979
650512.362236633,5902071.48297787,2020-08-21T16:44:30Z,31001001060,3.71347780625025
650485.023937728,5902052.54170018,2020-08-21T16:45:00Z,31001001060,3.98143495321274
650458.457328655,5902035.04546988,2020-08-21T16:45:30Z,31001001060,3.53811297814051
650425.588356279,5902011.35396998,2020-08-21T16:46:00Z,31001001060,2.89137144883474
650408.277297107,5901987.20316139,2020-08-21T16:46:30Z,31001001060,2.84254648288091
650400.917813204,5901951.46715304,2020-08-21T16:47:00Z,31001001060,2.82943235635757
650388.586662385,5901916.46795701,2020-08-21T16:47:30Z,31001001060,2.87122834920883
650353.517548257,5901890.03940633,2020-08-21T16:48:00Z,31001001060,4.44557221333186
650325.843095316,5901871.2890557,2020-08-21T16:48:30Z,31001001060,4.90593268473943
650300.808052474,5901858.03385149,2020-08-21T16:49:00Z,31001001060,6.22052920262019
650270.324367722,5901840.32965509,2020-08-21T16:49:30Z,31001001060,6.85835777521133
650230.754932377,5901823.95202121,2020-08-21T16:50:00Z,31001001060,12.3507919192314
650204.946593987,5901806.20645996,2020-08-21T16:50:30Z,31001001060,12.1568040251732
650180.061011507,5901788.54325341,2020-08-21T16:51:00Z,31001001060,11.5684559384982
650168.404576662,5901779.97269836,2020-08-21T16:51:30Z,31001001060,11.2517454862595
650171.337015295,5901778.54127574,2020-08-21T16:52:00Z,31001001060,11.3278037110964
650174.478261532,5901746.99460633,2020-08-21T16:52:30Z,31001001060,11.0937447110812
650176.643242774,5901743.31485106,2020-08-21T16:53:00Z,31001001060,11.0787780682246
650178.631646501,5901743.47746811,2020-08-21T16:53:30Z,31001001060,11.1257383624713
650212.596447919,5901734.95792072,2020-08-21T16:54:00Z,31001001060,11.5809247136116
650252.50295273,5901728.20066417,2020-08-21T16:54:30Z,31001001060,11.5960457245509
650287.752684598,5901733.00497119,2020-08-21T16:55:00Z,31001001060,3.5153263648351
650320.848819086,5901751.41904023,2020-08-21T16:55:30Z,31001001060,2.55537366469701
650364.281096995,5901749.73065413,2020-08-21T16:56:00Z,31001001060,2.57871575752894
650407.828778284,5901754.25900518,2020-08-21T16:56:30Z,31001001060,2.99377644062042
650443.902103563,5901756.44484383,2020-08-21T16:57:00Z,31001001060,16.81310176452
650480.23819882,5901762.53694509,2020-08-21T16:57:30Z,31001001060,16.9562498450279
650491.00765167,5901764.85139896,2020-08-21T16:58:00Z,31001001060,16.9804495374362
650518.577984287,5901751.97307422,2020-08-21T16:58:30Z,31001001060,17.0612885514895
