tID,nfixes_real,x_median,y_median,duration_real
WP072,283,650500,5901700,927
WP074,296,651900,5902400,592
WP076,300,651300,5902800,507
WP077,295,650500,5902700,722
WP078,6,650200,5902100,105
WP079,146,650100,5902000,606
WP080,295,650100,5901900,1200
WP081,300,650500,5903700,834
WP083,290,649500,5903700,583
WP085,289,649400,5902900,617
WP087,282,649500,5901700,799
WP089,95,647500,5901700,743
WP090,93,647500,5903800,519
WP091,72,649500,5905700,709
WP092,15,651500,5905700,563
WP094,26,653500,5905700,590
WP096,300,653500,5903700,718
WP099,208,653500,5901700,558
WP101,290,651500,5901700,858
WP102,964,651500,5902700,1147
WP105,251,651500,5903700,571
