X,Y,Species,Cluster_ID
256665,767569,Palm,1
256681,767584,Washingtonia,1
256701,767612,Mango,1
256707,767610,Ficus carica,1
256720,767604,Loquat,1
256720,767613,Ficus carica,1
256743,767625,Melia azedarach,1
256513,768269,Ficus carica,2
256563,768265,Ficus carica,3
256629,768245,Mulberry,1
256811,767856,Palm,2
256803,767841,Palm,2
256699,767708,Melia azedarach,2
256649,767709,Melia azedarach,3
256693,767628,Mulberry,2
256699,767658,Ficus carica,4
256716,767660,Ficus carica,4
256668,767656,Washingtonia,2
256671,767624,Ficus benjamina,1
256668,767630,Ficus benjamina,1
256668,767615,Washingtonia,1
256670,767610,Washingtonia,1
256662,767608,Washingtonia,1
256656,767608,Melia azedarach,4
256641,767707,Ficus,1
256682,767763,Ficus,2
256722,767826,Palm,3
256730,767826,Palm,3
256737,767865,Mango,2
256726,767878,Armenian plum,1
256761,767839,Guava,1
256758,767854,Mango,2
256758,767858,Loquat,2
256756,767902,Palm,4
256745,767935,Ficus carica,5
256748,767935,Mango,3
256784,767974,Ficus benjamina,2
256787,767974,Washingtonia,3
256780,768007,Ficus benjamina,2
256770,768011,Ficus benjamina,2
256802,768006,Loquat,3
256805,768006,Papaya,1
256801,768006,Guava,2
256816,768002,Guava,2
256819,768002,Ficus carica,6
256794,768026,Ficus carica,6
256808,768046,Ficus carica,6
256802,768046,Loquat,3
256805,768046,Mulberry,3
256798,768039,Mango,4
256757,768103,Ficus carica,7
256749,768115,Papaya,2
256743,768114,Annona,1
256730,768098,Palm,5
256723,768083,Strawberry guava,1
256726,768083,Loquat,4
256715,768081,Ficus carica,8
256735,768120,Surinam Cherry,1
256740,768126,Mango,5
256754,768113,Mango,5
256726,768122,Ficus carica,7
256713,768116,Palm,5
256708,768118,Ficus benjamina,3
256683,768129,Ficus benjamina,3
256676,768135,Ficus benjamina,3
256668,768155,Avocado,1
256652,768168,Palm,6
256640,768123,Mango,6
256640,768157,Ficus microcarpa,1
256640,768166,Palm,6
256610,768166,Palm,6
256595,768179,Avocado,2
256587,768160,Mulberry,4
256582,768155,Ficus carica,9
256579,768155,Loquat,5
256577,768156,Mango,7
256584,768158,Annona,2
256574,768156,Guava,3
256596,768190,Mango,7
256612,768197,Mango,7
256596,768193,Ficus benjamina,4
256594,768206,Loquat,6
256597,768206,Annona,3
256593,768206,Mulberry,5
256596,768206,Surinam Cherry,2
256574,768227,Ficus carica,3
256569,768227,Guava,4
256562,768227,Ficus carica,3
256557,768214,Mango,8
256568,768204,Avocado,2
256540,768204,Loquat,7
256538,768212,Palm,7
256541,768212,Ficus carica,3
256517,768213,Ficus carica,3
256503,768206,Ficus carica,3
256471,768245,Melia azedarach,5
256467,768248,Melia azedarach,5
256474,768254,Melia azedarach,5
256463,768243,Melia azedarach,5
256449,768230,Melia azedarach,5
256446,768226,Mulberry,6
256442,768222,Mulberry,6
256432,768213,Melia azedarach,5
256336,768226,Melia azedarach,6
256339,768226,Washingtonia,4
256233,768314,Melia azedarach,7
256230,768316,Melia azedarach,7
256226,768320,Melia azedarach,7
256223,768323,Melia azedarach,7
256228,768347,Ficus carica,10
256234,768281,Melia azedarach,7
256504,768169,Mulberry,7
256496,768167,Lychee,1
256495,768163,Strawberry guava,2
256514,768119,Date palm,1
256528,768140,Mango,9
256543,768103,Jujube,1
256681,768061,Ficus benjamina,5
256715,768055,Loquat,4
256739,767950,Guava,5
256720,767852,Ficus carica,11
256514,767920,Ficus carica,12
256521,767944,Melia azedarach,8
256524,767944,Ficus carica,12
256552,767992,Carob,1
256548,767995,Carob,1
256545,767999,Ziziphus spina-christi,1
256539,768005,Ziziphus spina-christi,1
256536,768008,Carob,1
256533,768012,Ziziphus spina-christi,1
256500,767999,Ziziphus spina-christi,1
256503,768045,Palm,8
256506,768045,Melia azedarach,9
256497,768075,Ficus carica,13
256486,768104,Cherry plum,1
256325,768124,Palm,9
256296,768126,Washingtonia,5
256317,768152,Ficus carica,14
256320,768152,Loquat,8
256294,768159,Ficus carica,14
256261,768107,Ficus benjamina,6
256260,768111,Palm,10
256261,768109,Palm,10
256268,768115,Palm,10
256261,768139,Palm,10
256257,768137,Palm,10
256255,768133,Palm,10
256257,768105,Washingtonia,6
256251,768100,Ficus,3
256246,768103,Palm,10
256243,768109,Palm,10
256241,768114,Palm,10
256240,768116,Palm,10
256226,768118,Mango,10
